"Month","Mean monthly temperature, 1907 ? 1972"
"1918-08",69.4
"1918-09",63.8
"1918-10",54.8
"1918-11",28.0
"1918-12",29.6
"1919-01",34.2
"1919-02",34.4
"1919-03",40.8
"1919-04",53.1
"1919-05",63.9
"1919-06",71.8
"1919-07",79.4
"1919-08",76.7
"1919-09",66.4
"1919-10",49.4
"1919-11",39.6
"1919-12",33.9
"1920-01",36.6
"1920-02",38.0
"1920-03",42.4
"1920-04",49.6
"1920-05",61.1
"1920-06",68.4
"1920-07",78.1
"1920-08",74.4
"1920-09",65.6
"1920-10",51.2
"1920-11",40.5
"1920-12",31.0
"1921-01",30.0
"1921-02",42.6
"1921-03",50.8
"1921-04",53.4
"1921-05",62.3
"1921-06",76.8
"1921-07",78.4
"1921-08",75.9
"1921-09",62.5
"1921-10",51.5
"1921-11",50.0
"1921-12",35.0
"1922-01",26.8
"1922-02",34.8
"1922-03",45.0
"1922-04",44.6
"1922-05",64.0
"1922-06",72.8
"1922-07",77.7
"1922-08",73.0
"1922-09",69.8
"1922-10",53.2
"1922-11",42.3
"1922-12",44.0
"1923-01",38.4
"1923-02",31.2
"1923-03",42.6
"1923-04",50.0
"1923-05",59.8
"1923-06",62.8
"1923-07",78.4
"1923-08",73.3
"1923-09",65.2
"1923-10",50.2
"1923-11",44.9
"1923-12",31.0
"1924-01",24.8
"1924-02",44.6
"1924-03",39.4
"1924-04",52.1
"1924-05",65.7
"1924-06",69.8
"1924-07",77.4
"1924-08",72.4
"1924-09",66.6
"1924-10",57.0
"1924-11",40.8
"1924-12",26.6
"1925-01",32.2
"1925-02",37.6
"1925-03",41.6
"1925-04",52.4
"1925-05",63.4
"1925-06",69.3
"1925-07",77.1
"1925-08",72.2
"1925-09",65.2
"1925-10",52.8
"1925-11",40.0
"1925-12",33.6
"1926-01",33.0
"1926-02",45.9
"1926-03",47.1
"1926-04",53.6
"1926-05",62.2
"1926-06",74.4
"1926-07",76.6
"1926-08",75.4
"1926-09",62.3
"1926-10",55.2
"1926-11",48.0
"1926-12",32.4
"1927-01",36.3
"1927-02",38.8
"1927-03",40.7
"1927-04",49.2
"1927-05",65.4
"1927-06",70.8
"1927-07",78.6
"1927-08",74.4
"1927-09",60.5
"1927-10",53.9
"1927-11",47.6
"1927-12",31.6
"1928-01",33.0
"1928-02",37.0
"1928-03",48.5
"1928-04",50.5
"1928-05",63.5
"1928-06",70.9
"1928-07",78.6
"1928-08",74.0
"1928-09",64.4
"1928-10",48.4
"1928-11",40.9
"1928-12",28.0
"1929-01",30.6
"1929-02",33.0
"1929-03",45.7
"1929-04",46.8
"1929-05",54.5
"1929-06",68.4
"1929-07",79.6
"1929-08",76.9
"1929-09",64.9
"1929-10",54.8
"1929-11",38.1
"1929-12",41.4
"1930-01",28.0
"1930-02",44.3
"1930-03",44.9
"1930-04",50.6
"1930-05",52.1
"1930-06",73.0
"1930-07",77.6
"1930-08",76.8
"1930-09",66.4
"1930-10",49.5
"1930-11",37.9
"1930-12",27.4
"1931-01",34.5
"1931-02",39.9
"1931-03",39.8
"1931-04",53.4
"1931-05",63.6
"1931-06",71.0
"1931-07",82.4
"1931-08",77.1
"1931-09",61.4
"1931-10",54.6
"1931-11",35.4
"1931-12",25.6
"1932-01",29.6
"1932-02",32.5
"1932-03",44.9
"1932-04",49.2
"1932-05",59.4
"1932-06",70.4
"1932-07",77.3
"1932-08",73.8
"1932-09",66.5
"1932-10",51.9
"1932-11",45.6
"1932-12",26.6
"1933-01",24.4
"1933-02",19.3
"1933-03",44.0
"1933-04",49.0
"1933-05",51.8
"1933-06",69.2
"1933-07",81.2
"1933-08",75.8
"1933-09",65.1
"1933-10",57.2
"1933-11",40.8
"1933-12",36.4
"1934-01",37.4
"1934-02",42.4
"1934-03",51.8
"1934-04",55.4
"1934-05",65.0
"1934-06",65.2
"1934-07",78.2
"1934-08",77.5
"1934-09",66.7
"1934-10",60.5
"1934-11",43.4
"1934-12",33.5
"1935-01",32.5
"1935-02",39.8
"1935-03",39.7
"1935-04",48.0
"1935-05",57.6
"1935-06",69.2
"1935-07",75.2
"1935-08",76.2
"1935-09",69.8
"1935-10",51.0
"1935-11",36.1
"1935-12",32.0
"1936-01",33.4
"1936-02",37.0
"1936-03",44.2
"1936-04",54.4
"1936-05",61.1
"1936-06",79.0
"1936-07",79.0
"1936-08",75.1
"1936-09",62.4
"1936-10",50.1
"1936-11",39.3
"1936-12",30.5
"1937-01",11.2
"1937-02",32.6
"1937-03",41.9
"1937-04",48.2
"1937-05",62.8
"1937-06",67.6
"1937-07",78.8
"1937-08",77.8
"1937-09",68.6
"1937-10",54.2
"1937-11",45.8
"1937-12",36.5
"1938-01",36.9
"1938-02",35.8
"1938-03",39.6
"1938-04",50.2
"1938-05",55.8
"1938-06",68.9
"1938-07",76.8
"1938-08",74.2
"1938-09",67.2
"1938-10",51.0
"1938-11",35.1
"1938-12",35.2
"1939-01",32.0
"1939-02",30.5
"1939-03",44.4
"1939-04",54.6
"1939-05",61.0
"1939-06",68.8
"1939-07",77.0
"1939-08",76.4
"1939-09",65.0
"1939-10",51.8
"1939-11",42.6
"1939-12",39.0
"1940-01",35.2
"1940-02",39.1
"1940-03",45.8
"1940-04",52.8
"1940-05",65.2
"1940-06",74.8
"1940-07",78.1
"1940-08",78.2
"1940-09",63.4
"1940-10",55.0
"1940-11",38.6
"1940-12",35.0
"1941-01",36.3
"1941-02",37.3
"1941-03",45.4
"1941-04",46.7
"1941-05",63.0
"1941-06",68.4
"1941-07",71.8
"1941-08",72.2
"1941-09",61.2
"1941-10",49.7
"1941-11",45.1
"1941-12",35.6
"1942-01",36.8
"1942-02",33.6
"1942-03",41.0
"1942-04",48.1
"1942-05",55.4
"1942-06",68.6
"1942-07",81.5
"1942-08",78.2
"1942-09",65.2
"1942-10",56.9
"1942-11",43.2
"1942-12",37.4
"1943-01",34.6
"1943-02",39.7
"1943-03",47.7
"1943-04",59.0
"1943-05",62.4
"1943-06",66.6
"1943-07",79.2
"1943-08",75.2
"1943-09",69.6
"1943-10",56.6
"1943-11",42.9
"1943-12",37.2
"1944-01",30.6
"1944-02",36.0
"1944-03",42.8
"1944-04",51.2
"1944-05",62.0
"1944-06",65.0
"1944-07",77.1
"1944-08",75.6
"1944-09",67.2
"1944-10",55.9
"1944-11",39.8
"1944-12",34.2
"1945-01",35.0
"1945-02",37.2
"1945-03",41.9
"1945-04",52.6
"1945-05",62.2
"1945-06",68.6
"1945-07",81.4
"1945-08",76.0
"1945-09",66.7
"1945-10",59.2
"1945-11",44.8
"1945-12",34.8
"1946-01",34.2
"1946-02",37.4
"1946-03",40.2
"1946-04",54.8
"1946-05",60.2
"1946-06",71.8
"1946-07",78.3
"1946-08",76.8
"1946-09",64.8
"1946-10",48.5
"1946-11",38.4
"1946-12",37.2
"1947-01",30.7
"1947-02",42.7
"1947-03",46.8
"1947-04",51.0
"1947-05",64.4
"1947-06",66.8
"1947-07",75.8
"1947-08",73.4
"1947-09",68.6
"1947-10",56.0
"1947-11",36.4
"1947-12",31.8
"1948-01",34.7
"1948-02",35.4
"1948-03",39.2
"1948-04",51.3
"1948-05",59.4
"1948-06",67.2
"1948-07",77.4
"1948-08",74.7
"1948-09",68.0
"1948-10",55.0
"1948-11",41.6
"1948-12",32.9
"1949-01",14.5
"1949-02",29.7
"1949-03",43.5
"1949-04",54.6
"1949-05",62.5
"1949-06",70.5
"1949-07",78.1
"1949-08",74.4
"1949-09",70.5
"1949-10",52.1
"1949-11",48.0
"1949-12",35.0
"1950-01",32.7
"1950-02",41.7
"1950-03",44.7
"1950-04",56.1
"1950-05",59.2
"1950-06",71.3
"1950-07",79.7
"1950-08",76.4
"1950-09",66.2
"1950-10",57.1
"1950-11",46.3
"1950-12",40.4
"1951-01",34.5
"1951-02",39.5
"1951-03",43.2
"1951-04",51.7
"1951-05",60.7
"1951-06",69.0
"1951-07",79.0
"1951-08",74.7
"1951-09",68.6
"1951-10",50.7
"1951-11",41.3
"1951-12",31.3
"1952-01",30.7
"1952-02",37.9
"1952-03",37.5
"1952-04",53.3
"1952-05",62.7
"1952-06",67.2
"1952-07",78.3
"1952-08",78.2
"1952-09",67.8
"1952-10",59.1
"1952-11",37.2
"1952-12",35.7
"1953-01",42.1
"1953-02",38.4
"1953-03",44.2
"1953-04",50.6
"1953-05",52.6
"1953-06",67.2
"1953-07",81.5
"1953-08",75.8
"1953-09",67.7
"1953-10",54.7
"1953-11",46.8
"1953-12",33.8
"1954-01",37.3
"1954-02",44.0
"1954-03",40.8
"1954-04",56.2
"1954-05",65.1
"1954-06",67.6
"1954-07",78.8
"1954-08",72.4
"1954-09",65.7
"1954-10",54.6
"1954-11",44.0
"1954-12",33.3
"1955-01",24.4
"1955-02",34.4
"1955-03",41.5
"1955-04",48.2
"1955-05",56.8
"1955-06",71.7
"1955-07",74.7
"1955-08",77.1
"1955-09",66.3
"1955-10",55.3
"1955-11",40.7
"1955-12",36.0
"1956-01",37.9
"1956-02",33.2
"1956-03",45.5
"1956-04",49.5
"1956-05",60.2
"1956-06",69.8
"1956-07",75.1
"1956-08",72.6
"1956-09",67.1
"1956-10",52.9
"1956-11",36.6
"1956-12",31.3
"1957-01",27.1
"1957-02",41.0
"1957-03",42.9
"1957-04",49.0
"1957-05",56.5
"1957-06",72.9
"1957-07",78.5
"1957-08",75.9
"1957-09",66.9
"1957-10",51.1
"1957-11",38.2
"1957-12",36.3
"1958-01",34.6
"1958-02",43.0
"1958-03",37.2
"1958-04",47.0
"1958-05",63.6
"1958-06",68.5
"1958-07",76.1
"1958-08",78.8
"1958-09",66.3
"1958-10",56.3
"1958-11",41.3
"1958-12",37.0
"1959-01",37.1
"1959-02",35.3
"1959-03",46.5
"1959-04",55.2
"1959-05",57.7
"1959-06",74.1
"1959-07",80.2
"1959-08",76.5
"1959-09",65.1
"1959-10",56.5
"1959-11",42.3
"1959-12",32.6
"1960-01",31.6
"1960-02",36.6
"1960-03",46.8
"1960-04",53.5
"1960-05",60.5
"1960-06",76.0
"1960-07",80.0
"1960-08",75.4
"1960-09",68.6
"1960-10",54.1
"1960-11",42.4
"1960-12",34.2
"1961-01",34.5
"1961-02",41.9
"1961-03",43.2
"1961-04",51.4
"1961-05",59.4
"1961-06",73.8
"1961-07",78.8
"1961-08",76.4
"1961-09",62.1
"1961-10",56.9
"1961-11",38.7
"1961-12",34.6
"1962-01",29.0
"1962-02",37.1
"1962-03",40.7
"1962-04",56.2
"1962-05",57.2
"1962-06",70.0
"1962-07",75.8
"1962-08",74.8
"1962-09",67.7
"1962-10",56.9
"1962-11",43.9
"1962-12",34.5
"1963-01",28.9
"1963-02",46.1
"1963-03",42.1
"1963-04",45.5
"1963-05",61.3
"1963-06",61.6
"1963-07",75.6
"1963-08",74.1
"1963-09",67.3
"1963-10",59.0
"1963-11",43.1
"1963-12",35.9
"1964-01",33.0
"1964-02",34.8
"1964-03",39.4
"1964-04",47.9
"1964-05",57.0
"1964-06",66.4
"1964-07",77.9
"1964-08",74.9
"1964-09",61.9
"1964-10",59.0
"1964-11",37.0
"1964-12",38.2
"1965-01",32.8
"1965-02",37.8
"1965-03",42.0
"1965-04",49.8
"1965-05",54.5
"1965-06",65.0
"1965-07",74.7
"1965-08",71.9
"1965-09",60.1
"1965-10",57.2
"1965-11",45.0
"1965-12",32.5
"1966-01",31.2
"1966-02",35.2
"1966-03",45.0
"1966-04",52.9
"1966-05",65.6
"1966-06",69.7
"1966-07",77.5
"1966-08",75.8
"1966-09",65.1
"1966-10",53.5
"1966-11",45.3
"1966-12",35.1
"1967-01",34.2
"1967-02",39.6
"1967-03",44.9
"1967-04",41.9
"1967-05",59.6
"1967-06",65.4
"1967-07",79.5
"1967-08",78.8
"1967-09",67.5
"1967-10",56.1
"1967-11",47.6
"1967-12",27.2
"1968-01",32.7
"1968-02",43.7
"1968-03",46.1
"1968-04",49.3
"1968-05",61.0
"1968-06",72.4
"1968-07",79.3
"1968-08",70.1
"1968-09",67.3
"1968-10",54.3
"1968-11",43.5
"1968-12",31.9
"1969-01",37.9
"1969-02",36.3
"1969-03",40.9
"1969-04",52.2
"1969-05",65.2
"1969-06",65.5
"1969-07",78.7
"1969-08",78.6
"1969-09",70.7
"1969-10",48.9
"1969-11",42.5
"1969-12",38.3
"1970-01",36.5
"1970-02",43.2
"1970-03",43.9
"1970-04",46.1
"1970-05",61.7
"1970-06",70.6
"1970-07",78.2
"1970-08",80.5
"1970-09",65.0
"1970-10",53.2
"1970-11",46.7
"1970-12",34.1
"1971-01",35.7
"1971-02",39.2
"1971-03",43.5
"1971-04",50.2
"1971-05",57.1
"1971-06",70.7
"1971-07",81.6
"1971-08",80.5
"1971-09",65.8
"1971-10",51.1
"1971-11",41.8
"1971-12",30.6
"1972-01",34.3
"1972-02",40.7
"1972-03",50.7
"1972-04",49.5
"1972-05",61.2
"1972-06",72.1
"1972-07",79.0
"1972-08",75.6
"1972-09",64.1
"1972-10",51.7
"1972-11",40.3
"1972-12",30.3

Mean monthly temperature, 1907 ? 1972

